"metric","value"
"dcor",0.7224907526
"p_value",0.001
"dcor_energy",0.7224907526
"abs_diff",9.88098491916389e-15
"dcor_mean5",0.7446955784
"dcor_min5",0.7118385738
"dcor_max5",0.7823712038
"n",450
"n_subjects",5
