"method","phasic_r","tonic_r","pe_phasic_sd","nk_phasic_sd","pe_phasic_fracpos","nk_phasic_fracpos"
"highpass",0.956769962906726,0.999306875694794,0.0618749138900714,0.0502266945269036,0.461974595213433,0.479365425502917
"cvxeda",0.645455580366523,0.865306962933147,0.383408466477874,0.124746479513444,0.65349179523524,0.636537098620727
