"method","n_nodes","n_edges","density","mean_edge_weight","global_efficiency","mean_clustering","modularity","n_modules"
"coherence",10,39,0.866666666666667,0.580899031565252,0.618657292536849,0.59740690589888,0.0310066155714942,2
"partial_coherence",10,8,0.177777777777778,0.150316702884471,0.275954373651243,0,0.498256574720845,4
"wpli",10,2,0.0444444444444444,0.0439529701769658,0.0549398388268229,0,7.01648337703736e-18,2
"dynamic_peak_coherence",10,45,1,0.721769596940678,0.721769596940678,0.713418999953139,-0.00627151940546615,2
