"metric","value"
"n_subjects",15
"n_subjects_fatigued",14
"mean_fatigue_index",0.9183
"mean_initial_mdf_hz",63.35
"mean_final_mdf_hz",58.19
"mean_pct_change",-8.17
"mean_channels_fatigued_of8",6.67
