"subject","initial_mdf","final_mdf","fatigue_index","pct_change","n_ch_fatigued"
"sub1",61.5520833333333,55.5859375,0.906975939623419,-9.30240603765813,7
"sub2",64.9739583333333,58.90625,0.902212566723207,-9.77874332767927,7
"sub3",69.90625,67.0390625,0.9591012325153,-4.08987674847005,6
"sub4",60.25,59.7161458333333,1.00127754132258,0.127754132257518,7
"sub5",64.328125,59.9401041666667,0.929542790135654,-7.04572098643458,6
"sub6",69.3802083333333,66.5911458333333,0.958584359923056,-4.14156400769443,6
"sub7",57.9166666666667,55.4453125,0.957852683919688,-4.21473160803124,7
"sub8",65.2838541666667,58.1171875,0.883566104353975,-11.6433895646025,7
"sub9",62.5651041666667,58.7109375,0.933893309048561,-6.61066909514387,6
"sub10",67.25,57.2604166666667,0.852069109123893,-14.7930890876107,8
"sub11",65.3515625,61.3046875,0.933153989446894,-6.68460105531056,7
"sub12",60.5729166666667,55.2864583333333,0.907203467682013,-9.27965323179875,5
"sub13",62.7291666666667,51.3567708333333,0.815998196742947,-18.4001803257053,8
"sub14",58.7734375,53.1770833333333,0.91259237909378,-8.74076209062196,7
"sub15",59.4739583333333,54.3411458333333,0.920636561636261,-7.93634383637387,6
