"metric","value"
"csi",1.496236
"cvi",4.849351
"csi_modified",486.604111
"max_diff_nk",0
"n_rr",391
"young_mean_cvi",4.8975
"old_mean_cvi",4.5548
"n_young_cvi_gt_oldmean",5
