"n_synergies","vaf_nmf","vaf_pca"
1,0.898658711476483,-4.70654343495382
2,0.95151704396709,-4.66601098418857
3,0.97806963942519,-4.64773241800412
4,0.981502768620368,-4.6399690272335
5,0.985668651422274,-4.63545865098812
6,0.989488184418996,-4.63181593445377
7,0.992594525799282,-4.62976960643273
8,0.994364402396122,-4.62835063950566
