"gait_cycle_pct","control_mean","control_sd","patient_mean","patient_sd"
0,0.0298281827643914,0.00535715236144509,0.0267737081673106,0.00504341185330445
1,0.0877181059995411,0.0214143678568207,0.0808636263357751,0.017981799220877
2,0.162440366681818,0.0476712509701515,0.152291917636076,0.0374658278726454
3,0.240159527218613,0.0774342802321281,0.228451520432801,0.0579796430823513
4,0.312729379187649,0.102880236440975,0.301819018973808,0.0768150103067617
5,0.379023891931929,0.119137346275018,0.370892114198782,0.0950685059685632
6,0.44278514868049,0.126645798496091,0.437966574094521,0.113972653726324
7,0.507442698000258,0.128876111887426,0.505034658444436,0.132848148438859
8,0.572134582649098,0.128374832734283,0.570922436456715,0.149364824994907
9,0.632614326913744,0.126469417925141,0.632047038929677,0.160542896222811
10,0.68515166961443,0.124213642673872,0.685365996311098,0.164771774315793
11,0.729288590784127,0.121882443780972,0.730379045730401,0.162888430634269
12,0.767619872247837,0.119446047507241,0.76873760698439,0.157174511633216
13,0.803449555795198,0.117470489363682,0.802709292862504,0.149722829243276
14,0.839074875075645,0.116502695748212,0.834157575207162,0.141896029163031
15,0.875545135620255,0.116337370295271,0.864236968392034,0.134513464404488
16,0.912759997739503,0.11625913202878,0.893235659988441,0.127923105687107
17,0.949921826004609,0.115583799092628,0.920583829690888,0.122011462894522
18,0.985819684123615,0.113701317676668,0.945274298339375,0.116370390714225
19,1.01899415304838,0.110252580918016,0.966518297385651,0.110510708105992
20,1.04818392480477,0.105519276109166,0.98396731526493,0.104058882054136
21,1.07258524237721,0.100377492504447,0.997611005127605,0.0969742966958829
22,1.09166720643633,0.095609655190676,1.00766896442723,0.0896153099778496
23,1.10514786678209,0.0915059657607373,1.0143863440511,0.082516619719449
24,1.1131107958957,0.0880913032716349,1.01799204056319,0.0760663041234035
25,1.11588122564974,0.0853336044226145,1.01851337944755,0.0706113266604504
26,1.11377650075576,0.0831292282533097,1.01587701699195,0.0664594313670283
27,1.10689984381445,0.0812163473782132,1.01026759409288,0.0636870850764477
28,1.09542684206592,0.0794120202434723,1.00202983597477,0.0622645471984064
29,1.0798655173909,0.0777944305249347,0.991478573920667,0.061920117784785
30,1.06089430408751,0.0764454836840101,0.978984409828622,0.0619604321138439
31,1.03908002032569,0.0752315578870519,0.965178834678425,0.0616686614916454
32,1.01496602456271,0.0739449371742488,0.950861749030452,0.060696861872929
33,0.989428321054482,0.0724333178987707,0.936558409706731,0.0592073346203911
