"metric","value"
"n_curves",328
"n_subjects",42
"beta_peak_pct_cycle",65
"beta_peak_value",3.341
"speed_global_p",5e-04
"cor_speed_peakflexion",0.627
"peakflex_slope_deg_per_level",1.609
