"metric","value"
"n_samples",6000
"path_length",37.2113946994
"mean_velocity",0.6202932939
"area_cc",0.9492597818
"area_ce",0.9442192497
"area_sw",0.0459651148
"mean_distance",0.3079551644
"rms_distance",0.3412198791
"mean_frequency",0.3205750554
"fractal_dimension",1.6802066929
