"metric","value"
"renyi_collision",2.16653247
"renyi_shannon",2.32476577
"max_diff_nk",4.44089209850063e-16
"n_bins",16
"monotonic",1
"renyi_a05",2.49246761
"renyi_a3",2.09483925
