"metric","value"
"fuzzyen_m2",0.94755202
"fuzzyen_m3",0.70391081
"max_diff_nk",3.5527136788005e-15
"sampen_m2",1.32723199
"fuzzy_vs_sampen_gap",0.37968
"monotonic",1
